staking (noun),"On the Ethereum Proof of Stake network, those wishing to participate in consensus must first lock up, or ‘stake’, 32 ETH into a smart contract; this ETH may be ‘slashed’ (taken from them and ‘burned’, put out of circulation) in the event that their validator behaves maliciously or does not meet performance requirements. Similar Proof of Stake mechanisms are in operation on other networks, as well.

Although this is the canonical meaning of the word, similar actions taken at the level of a decentralized exchange (DEX) or another dapp are often called ‘staking’, though it would probably be more accurate and descriptive to just call this ‘locking up tokens’.",,,Blockchain term,Solidity,Solidity,Solidity,Solidity,Solidity,솔리디티,سالیدیتی,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,لغة البرمجة Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state,"The set of data that a blockchain network strictly needs to keep track of, and that represents data currently relevant to applications on the chain.",,,Blockchain term,"
稳定币",Stablecoin (monnaie stable),Stablecoin,stablecoin,stablecoin,스테이블코인,استیبل کوین,stablecoin,стейблкоин,moneda estable,stablecoin,สเตเบิลคอยน์,stabil kripto para,đồng ổn định,عملة مستقرة,穩定幣,stablecoin,stablecoin,स्टेबलकॉइन,stabil érme,ステーブルコイン,Stablecoin,стейблкойн,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state channels,"State channels are part of the set of tools and platforms involved in scaling Ethereum. While a complex topic, state channels are essentially methods through which the current 'state' of the blockchain can be exported, and then based on that, any given number of transactions can take place off-chain, and then be moved back onto the main Ethereum chain.",,,Software term,质押,staking (nom),Staking,staking (noun),staking (noun),스테이킹(명사),سپرده‌گذاری,staking,стейкинг,staking,pagtataya (pangngalan),การฝาก,stake etme,ký gửi (danh từ),الربط,幣安質押,staking,συμμετοχή,स्टेकिंग (नाउन),tét,ステーキング,Staking,стейкинг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streaming,Money streaming represents the idea of continuous payments over time. Block numbers are used to measure time in the blockchain and continuously update the balances of the parties in the contract.,,,Blockchain term,状态,état,Status,state,stato,상태,وضعیت,estado,стейт,estado,estado,สถานะ,durum,trạng thái,حالة,state,status,state,स्टेट,állapot,ステート,Stan,стан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swap (noun),"As the number of different blockchain projects and tokens has proliferated, the system by which users exchange one token for another has come to be known as swapping, and the individual action, a swap. Within MetaMask, users have access to a powerful aggregator showing them information about swaps across the ecosystem, this is MetaMask Swaps:

User Guide Swaps",,,Ecosystem term,状态通道,canaux d’état,Statuskanäle,saluran state,canali di stato,상태 채널,کانال‌های وضعیت,canais de estado,Каналы состояния,canales de estado,mga channel ng estado,แชนแนลสถานะ,durum kanalları,kênh trạng thái,قنوات الحالة,狀態通道,statuskanalen,state channels,स्टेट चैनल्स,állapoti csatornák,ステートチャネル,Kanały stanu,канали стану,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swap /MetaSwap,"As the number of different blockchain projects and tokens has proliferated, the system by which users exchange one token for another has come to be known as swapping, and the individual action, a swap. ",,,Blockchain term,资金流,Continu,Streaming,Streaming,Streaming,스트리밍,جریان پول,Fluxo,Стриминг,flujo,Streaming,สตรีม,Streaming,Thanh toán liên tục,تدفق,金流,streaming,Ροή,स्ट्रीमिंग,streaming,ストリーミング,Streaming,Потокова передача,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
szabo,A denomination of ETH. See also 'ether (denominations)'.,,,Ecosystem term,兑换,swap (nom),Swap,penukaran (noun),scambio (noun),스왑(명사),تغییر دادن,troca,своп,intercambio,palitan (pangngalan),การแลกเปลี่ยน,swap,hoán đổi (danh từ),مبادلة ,交換,swap,εναλλαγή,स्वैप (नाउन),csere,スワップ,Wymiana,своп,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testnet (test network),"A testnet is a blockchain network that mirrors, as closely as possible, the current conditions of a corresponding ‘main’ network. Testnets are used by developers to verify that their smart contracts and other functionality work as intended, before permanently recording their code to a live blockchain network (and often spending significant gas fees in the process!).

Tokens minted on testnets are not transferrable for their equivalent value on mainnets.",,,Ecosystem term,Swap /MetaSwap,Swap/Metswap,Swap/MetaSwap,Swap /MetaSwap,Swap /MetaSwap,스왑/메타스왑,مبادله/MetaSwap,Troca /MetaSwap,Своп /MetaSwap,intercambio/metaintercambio,Swap /MetaSwap,Swap /MetaSwap,Swap /MetaSwap,Hoán đổi/MetaSwap,المبادلة / MetaSwap,交換,swap/MetaSwap,Εναλλαγή/MetaSwap,स्वैप/मेटास्वैप,Swap/MetaSwap,Swap /MetaSwap,Swap / MetaSwap,Swap /MetaSwap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Testnet Kovan,"An Ethereum testnet that uses Proof of Authority consensus, available through MetaMask; website here.",,,Blockchain term,szabo,szabo,Szabo,szabo,szabo,재보,سابو,szabo,сабо,szabo,szabo,ซาโบ,szabo,szabo,سزابو (szabo),szabo,szabo,szabo,szabo,szabo,szabo,Szabo,сабо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Testnet Rinkeby,"An Ethereum testnet that uses Proof of Authority consensus, available through MetaMask; faucet here. Following the transition to Proof of Stake, Rinkeby scheduled its deprecation for the end of 2023.",,,Brand/project name,测试网,testnet (réseau de test),Testnet (Testnetzwerk),testnet (jaringan tes),testnet (test network),테스트넷(테스트 네트워크),شبکه آزمایشی,testnet (rede de teste),тестнет (тестовая сеть),testnet (red de prueba),testnet (test network),เครือข่ายทดสอบ,test ağı,testnet (mạng thử nghiệm),شبكة الاختبار (testnet),測試網,testnet (testnetwerk),testnet (test network),टैस्टनेट (टैस्ट नेटवर्क),teszthálózat (teszthálózat),テストネット (テストネットワーク),Testnet (sieć testowa),testnet (тестова мережа),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Testnet Ropsten,"An Ethereum testnet that used Proof of Work, and, following the transition to Proof of Stake, was deprecated.",,,Brand/project name,Testnet Kovan,Testnet Kovan,Testnet Kovan,Testnet Kovan,Testnet Kovan,테스트넷 코반,شبکه آزمایش کوان,Testnet Kovan,Тестнет Kovan,red de pruebas Kovan,Testnet Kovan,เครือข่ายทดสอบ Kovan,Testnet Kovan,Mạng thử nghiệm Kovan,شبكة اختبار Kovan,Testnet Kovan,testnet Kovan,Testnet Kovan,टैस्टनेट Kovan,Kovan Teszthálózat,テストネット Kovan,Testnet Kovan,Kovan Testnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
token,A token represents an asset issued on an existing blockchain; the transfer of tokens and the addresses that currently hold them are the subject of the network’s consensus activities. There are many types of tokens; see also ‘ERC-20’ and ‘ERC-721’ entries.,,,Brand/project name,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,테스트넷 린케비,شبکه آزمایشی رینکبای,Testnet Rinkeby,Тестнет Rinkeby,red de pruebas Rinkeby,Testnet Rinkeby,เครือข่ายทดสอบ Rinkeby,Testnet Rinkeby,Mạng thử nghiệm Rinkeby,شبكة اختبار Rinkeby,Testnet Rinkeby,testnet Rinkeby,Testnet Rinkeby,टैस्टनेट Rinkeby,Rinkeby teszthálózat,テストネット Rinkeby,Testnet Rinkeby,Rinkeby Testnet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
token lockup,"A token lock-up refers to a mechanism where certain tokens or cryptocurrency holdings are locked up or frozen for a specified period of time to restrict their transfer or sale. This is often used in the context of initial coin offerings (ICOs), where token issuers may require investors to commit to holding onto their tokens for a certain period, typically to ensure that investors are committed to the project's long-term success.

Token lock-up periods can vary in duration and can be predetermined or set according to certain conditions, such as reaching a certain milestone, liquidity event or network upgrade. During the lock-up period, the tokens cannot be transferred or sold, although in some cases, they may be staked or used to participate in certain network activities. Once the lock-up period is over, the tokens can be freely traded or sold.",,,Blockchain term,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,테스트넷 롭스텐,شبکه آزمایشی راپستن,Testnet Ropsten,Тестнет Ropsten,red de pruebas Ropsten,Testnet Ropsten,เครือข่ายทดสอบ Ropsten,Testnet Ropsten,Mạng thử nghiệm Ropsten,شبكة اختبار Ropsten,Testnet Ropsten,testnet Ropsten,Testnet Ropsten,टैस्टनेट Ropsten,Ropsten teszthálózat,テストネット Ropsten,Testnet Ropsten,Ropsten Testnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Token standard,"See ERC-20, ERC-721, ERC-1155, etc.",,,Blockchain term,代币,jeton,Token,token,token,토큰,توکن,token,токен,token,token,โทเค็น,token,token,توكِنّ,代幣,token,συμβολικό νόμισμα,टोकन,zseton,トークン,Token,токен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Value Locked (TVL),"Total Value Locked, or TVL, is a common expression used in many contexts across the crypto ecosystem, so it's important to pay attention to the specifics. In general, it refers to how much value, in tokens, has been deposited into something. Most often, it refers to a protocol, which is an application on the blockchain, or a set of protocols. For example, a decentralized token trading platform might have a series of liquidity pools, which are protocols enabling swaps between tokens, and the platform may quote the ""TVL"" for all the pools combined. Alternatively, if a network uses proof of stake for their consensus mechanism, they may represent the TVL of all the tokens staked into that consensus protocol.",,,Blockchain term,代币锁定,blocage de jetons,Token-Lockup,penguncian token,lock-up del token,토큰 락업,قفل شدن توکن,bloqueio de token,блокировка токена,bloqueo de tokens,pag-lock ng token,ล็อกโทเค็น,token kilitlenmesi,khoá token,احتجاز التوكِنّ,代幣鎖倉,token-lock-up,κλείδωμα συμβολικών νομισμάτων,टोकन लॉकअप,zseton zárolás,トークンロックアップ,Lock-up tokena,блокування токенів,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction,"Data committed to the Ethereum Blockchain signed by an originating account, targeting a specific address. The transaction contains metadata such as the gas limit for that transaction.",,,Ecosystem term,代币标准,Jeton standard,Token-Standard,Standar token,Standard del Token,토큰 표준,استاندارد توکن,Padrão de token,Стандарт токена,Estándar de tokenes,Pamantayan ng token,มาตรฐานโทเค็น,Token standardı,Tiêu chuẩn token,معيار التوكِنّ,代幣標準,tokenstandaard,Τυπικό συμβολικό νόμισμα,टोकन स्टैंडर्ड,zseton szabvány,トークン規格,Standard tokena,Стандарт токенів,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transaction block,"A collection of transactions on a blockchain network, gathered into a set or a block that can then be hashed and added to the blockchain. See 'hash'.",,,Blockchain term,总锁仓价值（TVL）,Valeur totale verrouillée (TVL) ,Total Value Locked (TVL),Total Nilai Dikunci (TVL),Valore totale bloccato (TVL),락업자산가치,ارزش کل سرمایه قفل شده  (TVL),Valor total bloqueado (TVL),Общая заблокированная стоимость (TVL),valor total bloqueado (TVL),Total Value Locked (TVL),มูลค่ารวมในระบบ (TVL),Kilitli Toplam Değer (TVL),Tổng giá trị đã khoá (TVL),إجمالي القيمة المحتجزة (TVL),總鎖倉價值,TVL (total value locked),Κλειδωμένη συνολική τιμή (TVL),टोटल वैल्यू लॉक्ड (TVL),teljes zárolt érték (TVL),預かり資産額 (TVL),TVL – Total Value Locked (całkowita zablokowana wartość),Загальна заблокована вартість (TVL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transaction fee,"A small fee imposed on transactions sent across a blockchain network. These fees are used to pay network validators or miners for their participation in consensus, and thus ensure that a blockchain network is self-sustaining.",,,Blockchain term,交易,Transaction,Transaktion,transaksi,Transazione,트랜잭션,تراکنش,Transação,Транзакция,transacción,Transaksyon,ธุรกรรม,İşlem,Giao dịch,المعاملة,交易,transactie,Συναλλαγή,ट्रांसेक्शन,tranzakció,トランザクション,Transakcja,Транзакція,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transaction ID,"A transaction hash/ID (often abbreviated as tx hash or txn hash) is a unique identifier, similar to a receipt, that serves as proof that a transaction was validated and added to the blockchain. In many cases, a transaction hash is needed in order to locate funds.",,,Blockchain term,交易区块,bloc de transactions,Transaktionssperre,block transaksi,blocco transazione,트랜잭션 블록,بلاک تراکنش,bloco de transação,блок транзакции,bloque de transacciones,block ng transaksyon,บล็อกธุรกรรม,işlem bloku,khối giao dịch,كتلة المعاملة,交易區塊,transactieblok,block συναλλαγής,ट्रांसेक्शन ब्लॉक,tranzakciós blokk,トランザクションブロック,Block transakcji,блок транзакцій,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transaction pool,"When a user submits a transaction to the Ethereum network--or many other networks based on Ethereum--the transaction goes into what's know as a ""transaction pool"", or ""txpool"" for short. This is essentially a queue of transactions that are waiting to be added to a block and recorded to the blockchain. There are mechanisms that determine which transactions are ""picked up"" and included in the next block, and there is currently a lot of research surrounding how this decision gets made (see ""MEV""). In Bitcoin, the transaction pool was referred to as the ""memory pool"", or ""mempool"", and often these terms are used interchangeably.",,,Blockchain term,交易费用,frais de transaction,Transaktionsgebühr,biaya transaksi,commissione transazione,트랜잭션 수수료,کارمزد تراکنش,taxa de transação,комиссия за транзакцию,tarifa de transacción,bayad sa transaksyon,ค่าธรรมเนียมธุรกรรม,işlem ücreti,phí giao dịch,رسوم المعاملة,交易手續費,transactiekosten,χρεώση συναλλαγής,ट्रांसेक्शन फीस,tranzakciós díj,トランザクション手数料,Opłata za transakcje,комісія за транзакцію,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transak,"Transak is a developer integration toolkit to let users buy/sell crypto in any app, website or web plugin. ",,,Blockchain term,交易 ID,ID de transaction,Transaktions-ID,ID transaksi,ID transazione,트랜잭션 ID,شناسه تراکنش,ID da transação,ID транзакции,ID de transacción,ID ng transaksyon,ID ธุรกรรม,işlem kimliği,ID giao dịch,مُعرفّ المعاملة,交易ID,transactie-ID,Αναγνωριστικό συναλλαγής,Transaction ID,tranzakció azonosító,トランザクション ID,ID transakcji,ID транзакції,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trezor,Hardware wallet.,,,Brand name,交易池,pool de transactions,Transaktionspool,pool transaksi,pool transazione,트랜잭션 풀,استخر تراکنش,pool de transações,пул транзакций,grupo de transacciones,pool ng transaksyon,พูลธุรกรรม,işlem havuzu,bể nhớ giao dịch,تجمع المعاملات,交易池,transactiepool,ομάδα συναλλαγών,transaction pool,tranzakciós készlet,トランザクションプール,pula transakcji,пул транзакцій,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truffle,"Truffle Suite is a development environment based on Ethereum Blockchain, used to develop dapps. Truffle is a one-stop solution for building dapps: compiling contracts, deploying contracts, injecting it into a web app, creating front-end for dapps and testing.
Truffle Suite",,,Brand name,Transak,Transak,Transak,Transak,Transak,트랜삭,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trustless,"Trustless' is a term that gets used a lot in the decentralized web, and it deserves some explanation. Traditionally, to call something 'trustless' would sound like a negative thing. In the context of decentralized technology, it has a more technical meaning: since everyone has a copy of the ledger of all transactions ever executed, there is no need for a centralized entity that 'must be trusted' as the source of truth. With public blockchain networks, data isn't kept on some centralized server somewhere that could be hacked or changed arbitrarily; anyone can verify the transactions themselves. This is why the term 'trustless' was coined: there is no need for trust, although, in a way, the rules and assurances built into the blockchain provide the basis for greater trust between people, because the system is guaranteed to work the same for everyone.",,,Brand name,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,محفظة Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turing-complete,"Any machine that can calculate on a level equal to a programmable computer is Turing-complete, or computationally universal. The Ethereum Virtual Machine, which processes smart contracts and transactions, is Turing-complete, despite not existing on a single physical computer.",,,Ecosystem term,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,بيئة التطوير Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two-Factor Authentication (2FA),"Two-factor authentication (2FA) is an identity and access management security method that requires two forms of identification to access resources and data. 2FA gives businesses the ability to monitor and help safeguard their most vulnerable information and networks.See also ""U2F"" When 2FA ",,,Ecosystem term,去信任,sans confiance,Vertrauenslos,tidak tepercaya,trustless,무신뢰,بدون نیاز به اعتماد,trustless,трастлесс,sin confianza,hindi kailangan ng tiwala,ไม่ต้องไว้วางใจ,güvensiz,không cần sự tin tưởng,لا يتطلب ثقة,去信任,trustless,αναξιοπιστία,ट्रस्टलैस (trustless),trustless,トラストレス,Nieopierające się na zaufaniu,«без доверия»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXID,Transaction ID,,,Software term,图灵完备,Turing-complet,Turing-Complete,Turing-complete,Turing equivalenza,튜링완전,تورینگ کامل,Turing completo,Полный по Тьюрингу,Turing completo,Turing-kumpleto,สมบูรณ์ตามแบบทัวริง,Turing bütünlüğü,ngôn ngữ Turing hoàn chỉnh,تورنج كاملة,圖靈完整,turingvolledig,Turing-complete (Τούρινγκ υπολογιστικά καθολικό),ट्यूरिंग (Turing)-कम्पलीट,Turing-teljes,チューリング完全,Kompletność Turinga,Повна за Тьюрингом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U2F,Universal 2nd Factor (U2F) is an open standard that strengthens and simplifies two-factor authentication (2FA) using specialized Universal Serial Bus (USB) or near-field communication (NFC) devices based on similar security technology found in smart cards,,,Ecosystem term,双因素认证（2FA）,Authentification double (2FA),Zwei-Faktor-Authentifizierung (2FA),Autentikasi Dua Faktor (2FA),Autenticazione a due fattori (2FA),"이중 인증(two-factor authentication, 2FA)",تایید هویت دو عاملی (2FA),Autenticação de dois fatores (2FA),Двухфакторная аутентификация (2ФА),autenticación de dos factores (2FA),Two-Factor Authentication (2FA),การพิสูจน์ตัวจริงสองปัจจัย (2FA),İki Faktörlü Kimlik Doğrulaması (2FA),Xác thực hai yếu tố (2FA),المصادقة الثنائية (2FA),雙重要素驗證 (2FA),verificatie in twee stappen (2FA),Επαλήθευση δύο παραγόντων (2FA),टू-फैक्टर ऑथेंटिकेशन (2FA),kétlépcsős hitelesítés (2FA),二要素認証 (2FA),Uwierzytelnianie dwuskładnikowe (2FA),Двофакторна аутентифікація (2FA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniswap,Uniswap is a decentralized cryptocurrency exchange that uses a set of smart contracts to execute trades on its exchange.,,,Software term,交易 ID,TXID (ID de transaction),TXID,TXID,TXID,TXID,شناسه تراکنش,TXID,TXID,ID de transacción,TXID,TXID,TXID,TXID,مُعرفّ المعاملة (TXID),轉賬ID,TXID,TXID,TXID,TXID,TXID,TXID,TXID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unspent transaction output (UTXO),"An unspent transaction output (UTXO) represents some amount of digital currency which has been authorized by one account to be spent by another. UTXOs use public key cryptography to identify and transfer ownership between holders of public/private key pairs. UTXOs are formatted with the recipient's public key, thus restricting the ability to spend that UTXO to the account that can prove ownership of the associated private key. The UTXO can only be spent if it includes the digital signature associated with the public key attached the last time it was sent.",,,Brand name,U2F（通用第二因素）,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,Evrensel 2. Faktör (U2F),U2F,المعامل الثاني الشامل (U2F),通用第二因素,U2F,U2F,U2F,U2F,U2F,U2F,U2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upgrade,"Upgrading is the process of replacing a product with a newer version of the same product. In computing and consumer electronics, an upgrade is generally a replacement of hardware, software, or firmware with a newer or better version, in order to bring the system up to date or to improve its characteristics. See also EIP-1159, merge, and  other important Ethereum upgrades",,,Blockchain term,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,유니스왑,یونی‌سوآپ,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTXO,Acronym; Unspent Transaction Output.,,,Software term,未花费的交易输出（UTXO）,sortie de transaction non utilisée (UTXO),Uneingelöster Transaktions-Output (UTXO),output transaksi tidak digunakan (UTXO),output di una transazione non spesa (UTXO),미사용 트랜잭션 출력값(UTXO),خروجی خرج‌نشده تراکنش (UTXO),saída de transação não gasta (UTXO),выход неизрасходованных транзакций (UTXO),salida de transacción no gastada (UTXO),unspent transaction output (UTXO),เอาต์พุตธุรกรรมที่ยังไม่ใช้จ่าย (UTXO),harcanmamış işlem çıktısı (UTXO),đầu ra giao dịch chưa được sử dụng (UTXO),ناتج المعاملات غير المُنفقة (UTXO),未花費交易輸出,unspent transaction output (UTXO),αδιάθετη έξοδος συναλλαγής (UTXO),अनस्पेंट ट्रांसेक्शन आउटपुट (UTXO),felhasználatlan tranzakció kimenet (FTK),未使用トランザクションアウトプット (UTXO),Unspent transaction output (UTXO),вихід невитрачених транзакцій (UTXO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validator,"A participant in Proof of Stake (PoS) consensus. On Ethereum’s Proof of Stake network, validators need to stake 32 ETH in order to get included in the validator set. See also ‘staking’.",,,Blockchain term,升级,mise à niveau / mettre à niveau,Upgrade,upgrade,upgrade,업그레이드,ارتقا,upgrade,апгрейд,actualizar,mag-upgrade,อัปเกรด,yükselt,nâng cấp,ترقية,升級,upgraden,αναβάθμιση,अपग्रेड,frissíteni,アップグレード,Aktualizacja,оновити,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
